#### EXPORT DONNEES METEO POUR "BISCARROSSE" (LAT/LON: 44.3946602/-1.164218)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,17,12,13,12,15,15,0,67,10,1025,12.375,17,9,11,116,113,113,0,4,8.7,météo correcte,17:36:00,08:41:00,12
2022-01-02,15,13,12,13,15,14,0,83,10,1029,35.25,15,11,12,116,116,116,0,4,8.7,météo correcte,17:37:00,08:41:00,13
2022-01-03,16,11,14,11,14,15,0,83,10,1028,24.5,16,11,10,116,113,113,0,4,8.7,météo correcte,17:38:00,08:41:00,12
2022-01-04,17,11,31,14,17,12,1.1,84,9.875,1016,37.25,17,12,11,113,113,176,0,4,6.9,météo correcte,17:39:00,08:41:00,14
2022-01-05,11,7,45,8,9,8,0.8,60,9.875,1026,68.5,11,6,3,353,176,116,0,2,6.9,météo défavorable,17:40:00,08:41:00,9
2022-01-06,7,3,8,4,6,7,0,78,10,1026,9.375,7,0,1,113,113,113,0,3,8.7,météo très défavorable,17:41:00,08:40:00,5
2022-01-07,12,7,28,9,11,12,1.2,75,9.875,1032,85.625,12,6,6,176,176,176,0,3,3.4,météo défavorable,17:42:00,08:40:00,9
2022-01-08,12,12,40,12,12,12,2.1,83,8.625,1029,87.625,12,10,8,353,176,353,0,3,3.4,météo défavorable,17:43:00,08:40:00,12
2022-01-09,12,10,36,12,10,11,4.4,92,6.875,1020,95.125,12,11,8,176,353,266,0,3,3.4,météo défavorable,17:44:00,08:40:00,12
2022-01-10,14,11,43,14,13,11,1.5,94,7,1024,100,14,13,11,266,353,176,0,3,3.4,météo défavorable,17:45:00,08:39:00,14
2022-01-11,13,7,13,9,9,12,0,82,10,1033,44.25,13,7,5,122,113,113,0,2,6.9,météo correcte,17:46:00,08:39:00,9
2022-01-12,12,3,18,4,7,8,0,75,10,1035,1.75,12,1,-0,113,113,113,0,3,8.7,météo très défavorable,17:48:00,08:39:00,5
2022-01-13,12,1,13,2,7,10,0,78,10,1034,0,12,4,-3,113,113,113,0,3,8.7,météo très défavorable,17:49:00,08:38:00,3
2022-01-14,12,4,15,4,11,10,0,66,10,1034,12.875,12,2,1,113,113,113,0,3,6.9,météo très défavorable,17:50:00,08:38:00,4
2022-01-15,13,5,9,5,10,10,0,66,10,1030,1.125,13,6,3,113,113,113,0,3,8.7,météo correcte,17:51:00,08:37:00,6
